package	version	architecture	apt_mark	category	rebuild_profile	direct_or_dependency	component_or_feature	reason	evidence	confidence	notes
libshout3:armhf	2.4.6-1+b3	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libsidplay2:arm64	2.1.1-16	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: vlc.	medium	parents=vlc
libsidplayfp6:arm64	2.12.0-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: qmmp.	medium	parents=qmmp
libsigc++-2.0-0v5:arm64	2.12.1-3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: wf-panel-pi, rpd-wayland-core, pipewire:arm64.	medium	parents=wf-panel-pi,rpd-wayland-core,pipewire:arm64
libslang2:arm64	2.3.3-5+b2	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libslang2:armhf	2.3.3-5+b2	armhf	manual	foreign-architecture	experimental-full-clone	direct	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libslirp0:arm64	4.8.0-1+b1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: dosbox-x.	medium	parents=dosbox-x
libsm-dev:arm64	2:1.2.6-1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libsm6:arm64	2:1.2.6-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: openbox, realvnc-vnc-server, thunar.	medium	parents=openbox,realvnc-vnc-server,thunar
libsmartcols1:arm64	2.41-5	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libsmbclient0:arm64	2:4.22.8+dfsg-0+deb13u2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: rpd-common, rpd-wayland-core, rpd-x-core.	medium	parents=rpd-common,rpd-wayland-core,rpd-x-core
libsnappy1v5:arm64	1.2.2-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: ffmpeg, libavcodec-dev:arm64, qmmp.	medium	parents=ffmpeg,libavcodec-dev:arm64,qmmp
libsnappy1v5:armhf	1.2.2-1	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libsndfile1:arm64	1.2.2-2+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: pulseaudio-utils, qmmp, qtractor.	medium	parents=pulseaudio-utils,qmmp,qtractor
libsndfile1:armhf	1.2.2-2+deb13u1	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libsndio-dev:arm64	1.10.0-0.1	arm64	manual	development-toolchain	development	direct	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libsndio7.0:arm64	1.10.0-0.1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libsndio-dev:arm64.	medium	parents=libsndio-dev:arm64
libsnmp-base	5.9.4+dfsg-2+deb13u1	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libsnmp40t64:arm64	5.9.4+dfsg-2+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libsodium23:arm64	1.0.18-1+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: ffmpeg, libavfilter-dev:arm64, libavformat-dev:arm64.	medium	parents=ffmpeg,libavfilter-dev:arm64,libavformat-dev:arm64
libsodium23:armhf	1.0.18-1+deb13u1	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libsord-0-0:arm64	0.16.18-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: qtractor, ffmpeg, libavfilter-dev:arm64.	medium	parents=qtractor,ffmpeg,libavfilter-dev:arm64
libsoundtouch1:arm64	2.4.0+ds-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libsoup-2.4-1:arm64	2.74.3-10.1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: rpd-common, rpd-wayland-core, rpd-x-core.	medium	parents=rpd-common,rpd-wayland-core,rpd-x-core
libsoup-3.0-0:arm64	3.6.5-3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libwebkit2gtk-4.1-0:arm64, gir1.2-webkit2-4.1:arm64, rpd-common.	medium	parents=libwebkit2gtk-4.1-0:arm64,gir1.2-webkit2-4.1:arm64,rpd-common
libsoup-3.0-0:armhf	3.6.5-3	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libsoup-3.0-common	3.6.5-3	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libwebkit2gtk-4.1-0:arm64, gir1.2-webkit2-4.1:arm64, rpd-common.	medium	parents=libwebkit2gtk-4.1-0:arm64,gir1.2-webkit2-4.1:arm64,rpd-common
libsoup-3.0-dev:arm64	3.6.5-3	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libsoup2.4-common	2.74.3-10.1	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: rpd-common.	medium	parents=rpd-common
libsource-highlight-common	3.1.9-4.3	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: gdb.	medium	parents=gdb
libsource-highlight4t64:arm64	3.1.9-4.3+b1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: gdb.	medium	parents=gdb
libsoxr0:arm64	0.1.3-4+b2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: qmmp, ffmpeg, libswresample-dev:arm64.	medium	parents=qmmp,ffmpeg,libswresample-dev:arm64
libsoxr0:armhf	0.1.3-4+b2	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libspa-0.2-bluetooth:arm64	1.4.2-1+rpt3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: pipewire-audio, rpd-common, rpd-wayland-core.	medium	parents=pipewire-audio,rpd-common,rpd-wayland-core
libspa-0.2-dev:arm64	1.4.2-1+rpt3	arm64	manual	development-toolchain	development	direct	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libspa-0.2-libcamera:arm64	1.4.2-1+rpt3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libspa-0.2-modules:arm64	1.4.2-1+rpt3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libpipewire-0.3-dev:arm64, qmmp, wireplumber.	medium	parents=libpipewire-0.3-dev:arm64,qmmp,wireplumber
libspandsp2t64:arm64	0.0.6+dfsg-2.2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libspatialaudio0t64:arm64	0.3.0+git20180730+dfsg1-2.1+b1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: vlc.	medium	parents=vlc
libspectre1:arm64	0.2.12-1+b2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: obconf, openbox, rpd-x-core.	medium	parents=obconf,openbox,rpd-x-core
libspeex1:arm64	1.2.1-3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libwebkit2gtk-4.1-0:arm64, ffmpeg, libavcodec-dev:arm64.	medium	parents=libwebkit2gtk-4.1-0:arm64,ffmpeg,libavcodec-dev:arm64
libspeex1:armhf	1.2.1-3	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libspeexdsp-dev:arm64	1.2.1-3	arm64	manual	development-toolchain	development	direct	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libspeexdsp1:arm64	1.2.1-3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: dosbox-x, libspeexdsp-dev:arm64, vlc.	medium	parents=dosbox-x,libspeexdsp-dev:arm64,vlc
libspeexdsp1:armhf	1.2.1-3	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libsphinxbase3t64:arm64	0.8+5prealpha+1-21+b1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: ffmpeg, libavfilter-dev:arm64, libavdevice-dev:arm64.	medium	parents=ffmpeg,libavfilter-dev:arm64,libavdevice-dev:arm64
libsqlite3-0:arm64	3.46.1-7+deb13u1	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libsqlite3-0:armhf	3.46.1-7+deb13u1	armhf	manual	foreign-architecture	experimental-full-clone	direct	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libsqlite3-dev:arm64	3.46.1-7+deb13u1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libsratom-0-0:arm64	0.6.18-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: qtractor, ffmpeg, libavfilter-dev:arm64.	medium	parents=qtractor,ffmpeg,libavfilter-dev:arm64
libsrt1.5-gnutls:arm64	1.5.4-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: ffmpeg, libavformat-dev:arm64, qmmp.	medium	parents=ffmpeg,libavformat-dev:arm64,qmmp
libsrt1.5-gnutls:armhf	1.5.4-1	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libsrtp2-1:arm64	2.7.0-3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libss2:arm64	1.47.2-3+b11	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libssh-4:arm64	0.11.2-1+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: ffmpeg, libavformat-dev:arm64, qmmp.	medium	parents=ffmpeg,libavformat-dev:arm64,qmmp
libssh-4:armhf	0.11.2-1+deb13u1	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libssh2-1-dev:arm64	1.11.1-1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libssh2-1t64:arm64	1.11.1-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: mc, aria2, flatpak.	medium	parents=mc,aria2,flatpak
libssh2-1t64:armhf	1.11.1-1	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libssl-dev:arm64	3.5.6-1~deb13u2+rpt1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libssl3t64:arm64	3.5.6-1~deb13u2+rpt1	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libssl3t64:armhf	3.5.6-1~deb13u2+rpt1	armhf	manual	foreign-architecture	experimental-full-clone	direct	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libstartup-notification0:arm64	0.12-8	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: obconf, openbox, xfwm4.	medium	parents=obconf,openbox,xfwm4
libstdc++-14-dev:arm64	14.2.0-19	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libstdc++6:arm64	14.2.0-19	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libstdc++6:armhf	14.2.0-19	armhf	manual	foreign-architecture	experimental-full-clone	direct	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libstemmer0d:arm64	2.2.0-4+b2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: flatpak, zenity, rpd-common.	medium	parents=flatpak,zenity,rpd-common
libsub-quote-perl	2.006008-1	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: devscripts.	medium	parents=devscripts
libsvn1:arm64	1.14.5-3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: subversion.	medium	parents=subversion
libsvtav1enc2:arm64	2.3.0+dfsg-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: ffmpeg, libavcodec-dev:arm64, qmmp.	medium	parents=ffmpeg,libavcodec-dev:arm64,qmmp
libsvtav1enc2:armhf	2.3.0+dfsg-1	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libswresample-dev:arm64	8:7.1.4-0+deb13u1+rpt1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libswresample5:arm64	8:7.1.4-0+deb13u1+rpt1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: ffmpeg, libswresample-dev:arm64, qtractor.	medium	parents=ffmpeg,libswresample-dev:arm64,qtractor
libswresample5:armhf	8:7.1.4-0+deb13u1+rpt1	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libswscale-dev:arm64	8:7.1.4-0+deb13u1+rpt1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libswscale8:arm64	8:7.1.4-0+deb13u1+rpt1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: ffmpeg, libswscale-dev:arm64, libavfilter-dev:arm64.	medium	parents=ffmpeg,libswscale-dev:arm64,libavfilter-dev:arm64
libsynctex2:arm64	2024.20240313.70630+ds-6	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libsysprof-capture-4-dev:arm64	48.0-2	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libsystemd-dev:arm64	257.13-1~deb13u1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libsystemd-shared:arm64	257.13-1~deb13u1	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libsystemd0:arm64	257.13-1~deb13u1	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libsystemd0:armhf	257.13-1~deb13u1	armhf	manual	foreign-architecture	experimental-full-clone	direct	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libtag-c-dev:arm64	2.0.2-2	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libtag-c2:arm64	2.0.2-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libtag1-dev.	medium	parents=libtag1-dev
libtag-dev:arm64	2.0.2-2	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libtag1-dev	2.0.2-2	arm64	manual	development-toolchain	development	direct	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libtag2:arm64	2.0.2-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: qmmp, libwebkit2gtk-4.1-0:arm64, libtag1-dev.	medium	parents=qmmp,libwebkit2gtk-4.1-0:arm64,libtag1-dev
libtag2:armhf	2.0.2-2	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libtalloc2:arm64	2:2.4.3+samba4.22.8+dfsg-0+deb13u2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: cifs-utils, rpd-common, rpd-wayland-core.	medium	parents=cifs-utils,rpd-common,rpd-wayland-core
libtasn1-6-dev:arm64	4.20.0-2	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libtasn1-6:arm64	4.20.0-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libwebkit2gtk-4.1-0:arm64, network-manager, ntfs-3g.	medium	parents=libwebkit2gtk-4.1-0:arm64,network-manager,ntfs-3g
libtasn1-6:armhf	4.20.0-2	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libtbb12:arm64	2022.1.0-1+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libtbbbind-2-5:arm64	2022.1.0-1+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libtbbmalloc2:arm64	2022.1.0-1+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libtcl8.6:arm64	8.6.16+dfsg-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: python3-full, x11vnc.	medium	parents=python3-full,x11vnc
libtdb1:arm64	2:1.4.13+samba4.22.8+dfsg-0+deb13u2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: rpd-common.	medium	parents=rpd-common
libteamdctl0:arm64	1.31-1+b2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: network-manager, raspberrypi-net-mods, rpd-common.	medium	parents=network-manager,raspberrypi-net-mods,rpd-common
libtensorflow-lite2.20.0:arm64	2.20.0-1+rpt1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: rpicam-apps-lite.	medium	parents=rpicam-apps-lite
libtevent0t64:arm64	2:0.16.2+samba4.22.8+dfsg-0+deb13u2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: rpd-common, rpd-wayland-core, rpd-x-core.	medium	parents=rpd-common,rpd-wayland-core,rpd-x-core
libtext-charwidth-perl:arm64	0.04-11+b4	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libtext-iconv-perl:arm64	1.7-8+b4	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libtext-wrapi18n-perl	0.06-10	all	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libthai-data	0.1.29-2	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: chromium, firefox, labwc.	medium	parents=chromium,firefox,labwc
libthai-dev:arm64	0.1.29-2+b1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libthai0:arm64	0.1.29-2+b1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: chromium, firefox, labwc.	medium	parents=chromium,firefox,labwc
libthai0:armhf	0.1.29-2+b1	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libtheora0:arm64	1.2.0~alpha1+dfsg-6	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: qmmp, libwebkit2gtk-4.1-0:arm64, vlc.	medium	parents=qmmp,libwebkit2gtk-4.1-0:arm64,vlc
libtheora0:armhf	1.2.0~alpha1+dfsg-6	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libtheoradec1:arm64	1.2.0~alpha1+dfsg-6	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libwebkit2gtk-4.1-0:arm64, ffmpeg, libavcodec-dev:arm64.	medium	parents=libwebkit2gtk-4.1-0:arm64,ffmpeg,libavcodec-dev:arm64
libtheoradec1:armhf	1.2.0~alpha1+dfsg-6	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libtheoraenc1:arm64	1.2.0~alpha1+dfsg-6	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libwebkit2gtk-4.1-0:arm64, ffmpeg, libavcodec-dev:arm64.	medium	parents=libwebkit2gtk-4.1-0:arm64,ffmpeg,libavcodec-dev:arm64
libtheoraenc1:armhf	1.2.0~alpha1+dfsg-6	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
